Month Absence Occurred,Monthday Range Absence Occurred,Weekday Absence Occurred,Disease Absence,Other Factor Absence,Not-Major Issue Absence,Education,Has 1 Child,Has 2 Children,Has More than 2 Children,Has 1 Pet,Has 2 Pets,Has More than 2 Pets,Transportation Expense,Distance to Work,Age,Daily Work Load Average,Body Mass Index,Extensive Absenteeism Time in Hours
7,2,2,0,0,1,0,0,1,0,1,0,0,289,36,33,239.554,30,1
7,3,2,1,0,0,0,1,0,0,0,0,0,118,13,50,239.554,31,0
7,3,3,0,0,1,0,0,0,0,0,0,0,179,51,38,239.554,31,0
7,4,4,1,0,0,0,0,1,0,0,0,0,279,5,39,239.554,24,1
7,5,4,0,0,1,0,0,1,0,1,0,0,289,36,33,239.554,30,0
7,2,5,0,0,1,0,0,0,0,0,0,0,179,51,38,239.554,31,0
7,4,5,0,0,1,0,1,0,0,0,0,1,361,52,28,239.554,27,1
7,5,5,0,0,1,0,0,0,1,0,0,0,260,50,36,239.554,23,1
7,2,1,0,1,0,0,0,1,0,0,0,0,155,12,34,239.554,25,1
7,3,1,0,0,1,1,1,0,0,1,0,0,235,11,37,239.554,29,1
7,4,1,1,0,0,0,0,0,1,0,0,0,260,50,36,239.554,23,1
7,3,2,1,0,0,0,0,0,1,0,0,0,260,50,36,239.554,23,1
7,3,3,1,0,0,0,0,0,1,0,0,0,260,50,36,239.554,23,1
7,3,3,1,0,0,0,0,0,0,0,0,0,179,51,38,239.554,31,0
7,3,3,0,0,1,0,0,0,0,0,0,0,179,51,38,239.554,31,1
7,4,5,1,0,0,0,0,0,0,0,0,0,246,25,41,239.554,23,1
7,4,5,0,0,1,0,0,0,0,0,0,0,179,51,38,239.554,31,0
7,6,1,0,1,0,0,0,0,0,0,0,0,179,51,38,239.554,31,1
7,6,4,1,0,0,0,0,1,0,0,1,0,189,29,33,239.554,25,1
8,1,3,0,0,1,0,0,1,0,1,0,0,248,25,47,205.917,32,0
8,3,3,1,0,0,1,0,0,0,0,0,0,330,16,28,205.917,25,1
8,1,1,1,0,0,0,0,0,0,0,0,0,179,51,38,205.917,31,0
8,2,1,1,0,0,0,1,0,0,0,0,1,361,52,28,205.917,27,1
8,3,5,0,0,1,0,0,0,1,0,0,0,260,50,36,205.917,23,1
8,4,1,0,1,0,0,0,1,0,1,0,0,289,36,33,205.917,30,1
8,5,1,0,0,1,0,1,0,0,0,0,1,361,52,28,205.917,27,1
8,1,2,0,0,1,0,0,1,0,1,0,0,289,36,33,205.917,30,0
8,3,3,0,0,1,0,0,0,0,0,0,0,157,27,29,205.917,22,1
8,4,3,0,1,0,0,0,1,0,1,0,0,289,36,33,205.917,30,1
8,6,5,0,0,1,0,0,0,0,0,0,0,179,51,38,205.917,31,0
8,4,1,0,1,0,0,0,0,0,0,0,0,179,51,38,205.917,31,1
8,6,4,0,1,0,0,1,0,0,0,0,1,235,29,48,205.917,33,1
8,6,4,0,0,1,1,1,0,0,1,0,0,235,11,37,205.917,29,1
8,4,1,0,1,0,0,1,0,0,0,0,1,235,29,48,205.917,33,1
8,4,1,0,0,1,0,0,0,0,0,0,0,179,51,38,205.917,31,0
8,4,1,0,0,1,0,1,0,0,0,0,1,361,52,28,205.917,27,0
8,1,2,0,0,1,0,0,1,0,1,0,0,289,36,33,205.917,30,1
8,4,4,1,0,0,0,0,0,0,0,0,0,291,50,32,205.917,23,1
8,5,5,0,0,1,0,1,0,0,0,0,1,235,29,48,205.917,33,1
8,6,5,0,0,1,0,0,0,1,0,0,0,260,50,36,205.917,23,1
9,1,2,0,0,1,0,0,0,0,0,0,0,184,42,27,241.476,21,0
9,2,1,0,0,1,0,0,0,0,0,0,0,118,10,37,241.476,28,1
9,1,2,0,0,1,0,0,0,0,0,0,0,179,51,38,241.476,31,1
9,2,2,0,1,0,0,1,0,0,0,0,0,235,20,43,241.476,38,1
9,2,3,0,0,1,0,0,1,0,0,0,0,155,12,34,241.476,25,0
9,3,6,0,0,1,0,0,0,0,0,0,0,118,10,37,241.476,28,0
9,3,1,0,0,1,0,0,0,0,0,0,0,179,51,38,241.476,31,0
9,5,4,0,0,1,0,1,0,0,1,0,0,291,31,40,241.476,25,1
9,1,5,0,0,1,0,0,0,1,0,0,0,260,50,36,241.476,23,1
9,3,1,1,0,0,0,1,0,0,1,0,0,291,31,40,241.476,25,1
9,5,1,1,0,0,0,0,0,1,0,0,0,260,50,36,241.476,23,0
9,6,1,1,0,0,0,1,0,0,0,1,0,225,26,28,241.476,24,0
9,2,2,0,0,1,0,1,0,0,0,1,0,225,26,28,241.476,24,0
9,3,2,0,0,1,0,0,0,0,0,0,0,118,10,37,241.476,28,0
9,5,2,1,0,0,0,0,1,0,1,0,0,289,36,33,241.476,30,0
9,6,2,1,0,0,0,1,0,0,0,0,0,118,13,50,241.476,31,0
9,4,3,0,1,0,0,1,0,0,0,1,0,225,26,28,241.476,24,0
9,5,3,0,0,1,0,0,0,0,0,0,0,179,51,38,241.476,31,0
9,6,3,1,0,0,0,0,0,1,0,0,0,369,17,31,241.476,25,0
9,3,5,0,0,1,0,0,1,0,1,0,0,248,25,47,241.476,32,0
9,4,5,0,0,1,0,0,0,0,0,0,0,179,51,38,241.476,31,0
9,5,5,0,0,1,0,0,0,1,0,0,0,260,50,36,241.476,23,1
10,2,2,0,0,1,0,0,0,0,0,0,0,179,51,38,253.465,31,0
10,3,2,0,0,1,0,0,0,0,0,0,0,118,10,37,253.465,28,0
10,3,3,1,0,0,0,1,0,0,0,0,0,118,13,50,253.465,31,0
10,3,4,0,0,1,1,0,0,0,0,0,0,179,26,30,253.465,19,0
10,4,5,0,0,1,0,0,0,0,0,0,0,179,51,38,253.465,31,0
10,4,5,0,0,1,0,1,0,0,0,1,0,225,26,28,253.465,24,0
10,2,2,0,0,1,0,0,0,0,0,0,0,118,10,37,253.465,28,0
10,3,3,0,0,1,0,1,0,0,0,1,0,225,26,28,253.465,24,0
10,5,3,0,0,1,0,0,1,0,1,0,0,248,25,47,253.465,32,0
10,5,4,0,0,1,0,1,0,0,1,0,0,291,31,40,253.465,25,1
10,5,3,0,0,1,0,0,0,0,0,0,0,179,51,38,253.465,31,1
10,5,3,0,0,1,0,1,0,0,0,1,0,225,26,28,253.465,24,0
10,5,4,0,1,0,0,0,0,1,0,0,0,260,50,36,253.465,23,1
10,3,2,1,0,0,0,1,0,0,1,0,0,291,31,40,253.465,25,1
10,4,2,0,0,1,0,1,0,0,0,1,0,225,26,28,253.465,24,0
10,5,3,0,0,1,0,0,1,0,1,0,0,289,36,33,253.465,30,1
10,5,5,0,0,1,0,1,0,0,0,0,1,361,52,28,253.465,27,0
10,6,5,0,0,1,0,0,0,1,0,0,0,260,50,36,253.465,23,0
11,1,4,0,0,1,0,0,0,0,0,0,0,179,51,38,306.345,31,0
11,1,3,0,0,1,0,1,0,0,0,1,0,225,26,28,306.345,24,0
11,1,4,1,0,0,0,0,0,0,0,0,0,179,51,38,306.345,31,1
11,3,4,0,1,0,1,0,1,0,0,0,0,179,22,40,306.345,22,1
11,4,4,0,0,1,0,1,0,0,1,0,0,291,31,40,306.345,25,1
11,1,1,1,0,0,0,0,1,0,0,0,0,155,12,34,306.345,25,1
11,2,1,0,0,1,0,0,1,0,0,1,0,189,29,33,306.345,25,1
11,4,1,1,0,0,0,1,0,0,1,0,0,291,31,40,306.345,25,1
11,4,3,0,0,1,0,1,0,0,0,1,0,225,26,28,306.345,24,0
11,4,5,1,0,0,0,0,1,0,0,0,0,155,12,34,306.345,25,1
11,4,3,0,0,1,0,1,0,0,0,1,0,225,26,28,306.345,24,0
11,5,3,0,1,0,1,0,1,0,0,0,0,179,22,40,306.345,22,1
11,4,5,1,0,0,0,1,0,0,0,1,0,225,26,28,306.345,24,0
11,6,5,0,0,1,0,0,0,1,0,0,0,260,50,36,306.345,23,1
11,1,1,0,0,1,0,0,1,0,1,0,0,248,25,47,306.345,32,0
11,2,2,0,0,1,0,1,0,0,0,1,0,225,26,28,306.345,24,0
11,3,3,1,0,0,0,0,1,0,1,0,0,289,36,33,306.345,30,1
11,6,4,0,0,1,0,1,0,0,1,0,0,291,31,40,306.345,25,0
12,1,2,0,0,1,0,0,1,0,1,0,0,248,25,47,261.306,32,0
12,1,2,0,1,0,0,0,0,0,0,0,0,118,10,37,261.306,28,1
12,1,3,0,0,1,0,1,0,0,0,0,0,118,13,50,261.306,31,0
12,1,3,0,0,1,1,1,0,0,1,0,0,235,11,37,261.306,29,1
12,1,4,0,0,1,0,1,0,0,0,1,0,225,26,28,261.306,24,0
12,1,5,0,0,1,0,0,0,1,0,0,0,260,50,36,261.306,23,1
12,2,2,0,1,0,0,0,0,0,0,0,0,118,10,37,261.306,28,1
12,2,3,0,0,1,0,1,0,0,0,0,1,361,52,28,261.306,27,1
12,2,4,0,0,1,0,1,0,0,0,1,0,225,26,28,261.306,24,0
12,3,5,0,0,1,0,0,0,1,0,0,0,260,50,36,261.306,23,0
12,3,2,0,0,1,0,1,0,0,0,1,0,225,26,28,261.306,24,0
12,4,3,0,0,1,0,1,0,0,0,0,1,361,52,28,261.306,27,1
12,3,5,0,0,1,0,0,0,0,0,0,0,118,10,37,261.306,28,0
12,4,5,0,1,0,0,0,0,0,0,0,0,246,25,41,261.306,23,1
12,4,5,0,0,1,0,1,0,0,0,1,0,225,26,28,261.306,24,0
1,2,3,0,0,1,0,1,0,0,0,1,0,225,26,28,308.593,24,0
1,1,1,0,1,0,0,0,0,0,0,0,0,118,10,37,308.593,28,0
1,1,2,0,0,1,0,0,0,0,0,0,0,118,10,37,308.593,28,0
1,1,2,0,1,0,0,0,1,0,0,0,0,155,12,34,308.593,25,1
1,2,3,0,0,1,0,1,0,0,0,1,0,225,26,28,308.593,24,0
1,2,4,0,0,1,0,0,0,0,0,0,0,184,42,27,308.593,21,0
1,2,4,0,0,1,0,1,0,0,0,1,0,225,26,28,308.593,24,0
1,2,5,0,0,1,0,1,0,0,0,1,0,225,26,28,308.593,24,0
1,3,1,0,0,1,0,0,0,0,0,0,0,118,10,37,308.593,28,0
1,3,2,0,0,1,0,1,0,0,0,1,0,225,26,28,308.593,24,0
1,3,2,0,0,1,0,0,0,0,0,0,0,118,10,37,308.593,28,0
1,3,3,0,0,1,0,0,0,0,0,0,0,118,10,37,308.593,28,0
1,3,4,0,0,1,0,0,0,0,0,0,0,118,10,37,308.593,28,0
1,3,5,0,0,1,0,0,0,0,0,0,0,118,10,37,308.593,28,0
1,3,1,0,0,1,0,0,0,0,0,0,0,118,10,37,308.593,28,0
1,3,2,0,0,1,0,0,0,0,0,0,0,118,10,37,308.593,28,0
1,3,2,0,1,0,1,0,0,0,0,0,0,179,26,30,308.593,19,1
1,3,2,0,1,0,0,0,1,0,1,0,0,289,36,33,308.593,30,1
1,3,3,0,0,1,0,0,0,0,0,0,0,118,10,37,308.593,28,0
1,5,4,0,0,1,0,0,0,0,0,0,0,184,42,27,308.593,21,0
1,6,4,0,0,1,0,0,0,0,0,0,0,118,10,37,308.593,28,0
1,5,1,0,0,1,0,0,0,0,0,0,0,118,10,37,308.593,28,0
1,6,2,0,0,1,0,1,0,0,0,1,0,225,26,28,308.593,24,0
1,6,4,0,0,1,0,0,1,0,1,0,0,289,36,33,308.593,30,0
2,1,5,0,0,1,0,0,0,0,0,0,0,184,42,27,302.585,21,0
2,1,3,1,0,0,0,0,0,0,0,0,0,246,25,41,302.585,23,1
2,2,3,1,0,0,0,0,0,0,0,0,0,179,51,38,302.585,31,1
2,3,4,0,0,1,0,0,1,0,0,0,0,155,12,34,302.585,25,0
2,3,4,0,0,1,0,0,1,0,0,1,0,189,29,33,302.585,25,1
2,3,5,0,0,1,0,0,0,1,0,0,0,260,50,36,302.585,23,0
2,3,5,0,0,1,0,0,1,0,1,0,0,289,36,33,302.585,30,1
2,2,1,1,0,0,0,0,0,0,0,0,0,388,15,50,302.585,24,1
2,2,2,1,0,0,0,0,0,0,0,0,0,388,15,50,302.585,24,1
2,3,1,0,0,1,0,1,0,0,0,1,0,225,26,28,302.585,24,0
2,2,2,0,0,1,0,1,0,0,0,1,0,225,26,28,302.585,24,0
2,4,2,0,0,1,1,0,0,0,0,0,0,179,26,30,302.585,19,0
2,5,2,0,0,1,0,0,0,0,0,0,0,184,42,27,302.585,21,1
2,5,4,0,0,1,0,1,0,0,0,1,0,225,26,28,302.585,24,0
2,3,1,0,1,0,1,0,0,0,0,0,0,330,16,28,302.585,25,1
2,4,2,0,0,1,1,0,0,0,0,0,0,330,16,28,302.585,25,0
2,4,3,0,0,1,0,1,0,0,0,1,0,225,26,28,302.585,24,0
2,5,4,0,1,0,0,0,1,0,0,1,0,189,29,33,302.585,25,1
3,1,2,0,0,1,0,0,0,0,0,0,0,291,50,32,343.253,23,0
3,1,2,0,1,0,0,0,0,1,0,0,0,260,50,36,343.253,23,1
3,2,2,0,1,0,0,0,0,0,0,0,0,157,27,29,343.253,22,0
3,3,2,0,0,0,1,0,1,0,0,0,0,179,22,40,343.253,22,1
3,4,3,0,0,1,0,1,0,0,1,0,0,291,31,40,343.253,25,1
3,1,3,1,0,0,0,0,0,1,0,0,0,260,50,36,343.253,23,1
3,1,4,1,0,0,1,0,0,0,0,0,0,179,26,30,343.253,19,1
3,1,5,1,0,0,0,0,1,0,1,0,0,248,25,47,343.253,32,0
3,1,5,1,0,0,0,0,0,1,0,0,0,260,50,36,343.253,23,1
3,2,1,1,0,0,1,0,1,0,0,0,0,179,22,40,343.253,22,1
3,3,1,1,0,0,0,0,1,0,0,0,0,155,12,34,343.253,25,1
3,5,1,0,0,1,0,0,0,1,0,0,0,260,50,36,343.253,23,1
3,5,2,1,0,0,0,0,1,0,0,0,0,155,12,34,343.253,25,1
3,5,4,1,0,0,0,0,1,0,1,0,0,289,36,33,343.253,30,1
3,5,4,1,0,0,1,0,1,0,0,0,0,179,22,40,343.253,22,1
3,5,5,0,0,1,0,0,0,1,0,0,0,260,50,36,343.253,23,1
3,5,5,0,0,1,0,1,0,0,0,1,0,225,26,28,343.253,24,0
3,6,1,1,0,0,0,0,1,0,0,0,0,279,5,39,343.253,24,1
3,6,2,1,0,0,0,0,0,0,0,0,0,179,51,38,343.253,31,1
3,6,3,0,0,1,0,1,0,0,0,1,0,225,26,28,343.253,24,0
3,6,1,1,0,0,0,1,0,0,0,1,0,225,26,28,343.253,24,1
3,6,1,1,0,0,1,0,0,0,0,0,0,179,26,30,343.253,19,0
3,6,2,1,0,0,0,1,0,0,0,1,0,225,26,28,343.253,24,1
3,6,3,1,0,0,0,1,0,0,0,1,0,225,26,28,343.253,24,1
3,6,3,1,0,0,0,0,0,0,0,0,0,179,51,38,343.253,31,0
3,4,4,1,0,0,0,0,1,0,0,0,0,279,5,39,343.253,24,1
3,4,5,0,0,1,0,1,0,0,0,1,0,225,26,28,343.253,24,0
3,5,5,1,0,0,0,0,1,0,1,0,0,248,25,47,343.253,32,0
3,6,1,0,0,1,0,1,0,0,0,1,0,225,26,28,343.253,24,0
4,2,3,0,0,1,0,1,0,0,1,0,0,291,31,40,326.452,25,0
4,3,3,0,0,1,0,1,0,0,0,1,0,225,26,28,326.452,24,0
4,3,2,0,0,1,0,0,1,0,0,0,0,155,12,34,326.452,25,0
4,3,3,1,0,0,0,0,0,0,0,0,0,246,25,41,326.452,23,1
4,3,4,0,0,1,0,0,1,0,0,0,0,155,12,34,326.452,25,0
4,3,5,0,0,1,0,1,0,0,0,1,0,225,26,28,326.452,24,0
4,3,5,0,0,1,0,0,0,1,0,0,0,260,50,36,326.452,23,1
4,2,3,1,0,0,0,0,0,0,0,0,0,179,51,38,326.452,31,1
4,2,4,0,0,1,0,1,0,0,0,0,0,118,13,50,326.452,31,0
4,2,5,0,0,1,0,1,0,0,1,0,0,291,31,40,326.452,25,0
4,2,5,1,0,0,0,0,0,0,0,0,0,246,25,41,326.452,23,1
4,5,5,0,0,1,0,1,0,0,1,0,0,291,31,40,326.452,25,0
4,6,5,0,0,1,0,0,1,0,1,0,0,248,25,47,326.452,32,1
4,6,5,0,1,0,0,0,0,1,0,0,0,260,50,36,326.452,23,1
4,6,2,0,1,0,0,0,1,0,1,0,0,289,36,33,326.452,30,1
4,6,3,1,0,0,0,0,1,0,0,0,0,155,12,34,326.452,25,1
4,6,3,0,1,0,0,0,1,0,0,0,1,378,49,36,326.452,21,1
4,6,4,1,0,0,0,0,1,0,1,0,0,289,36,33,326.452,30,1
4,2,5,1,0,0,1,1,0,0,1,0,0,235,11,37,326.452,29,0
4,1,1,1,0,0,0,1,0,0,0,0,1,235,29,48,326.452,33,0
5,1,3,1,0,0,0,0,1,0,1,0,0,289,36,33,378.884,30,1
5,1,4,0,0,1,0,0,1,0,0,0,0,155,12,34,378.884,25,0
5,1,1,0,0,1,0,0,1,0,0,0,0,155,12,34,378.884,25,0
5,1,2,0,1,0,0,0,0,0,0,0,0,179,51,38,378.884,31,1
5,1,2,0,1,0,0,1,0,0,0,1,0,225,26,28,378.884,24,1
5,3,3,1,0,0,0,0,0,0,0,0,0,184,42,27,378.884,21,1
5,2,1,0,0,1,0,0,1,0,0,0,0,155,12,34,378.884,25,0
5,2,2,1,0,0,0,0,0,0,0,0,0,179,51,38,378.884,31,0
5,1,3,1,0,0,0,0,1,0,1,0,0,289,36,33,378.884,30,1
5,3,3,1,0,0,0,0,1,0,0,0,0,279,5,39,378.884,24,0
5,4,3,1,0,0,1,0,0,0,0,0,0,330,16,28,378.884,25,0
5,5,3,1,0,0,0,0,1,0,0,0,1,378,49,36,378.884,21,0
5,5,3,1,0,0,0,0,0,0,0,0,0,388,15,50,378.884,24,0
5,5,2,1,0,0,0,0,0,0,0,0,0,179,51,38,378.884,31,0
5,3,3,1,0,0,0,1,0,0,0,0,0,118,13,50,378.884,31,1
5,6,5,0,0,1,0,1,0,0,0,0,1,361,52,28,378.884,27,1
6,2,1,0,1,0,0,0,0,0,0,0,0,246,25,41,377.55,23,1
6,3,1,0,0,1,0,1,0,0,0,0,1,361,52,28,377.55,27,1
6,3,2,1,0,0,0,0,0,0,0,0,0,246,25,41,377.55,23,1
6,4,4,0,0,1,0,1,0,0,1,0,0,291,31,40,377.55,25,1
6,4,5,1,0,0,0,0,0,0,0,0,0,246,25,41,377.55,23,1
6,3,1,1,0,0,0,0,0,0,0,0,0,179,51,38,377.55,31,1
6,4,1,0,0,1,0,0,1,0,0,0,0,155,12,34,377.55,25,1
6,6,1,1,0,0,0,0,0,0,0,0,0,246,25,41,377.55,23,1
